HNum,Rh,Rm,RAs,Dd,Dm,Ds,Vmag,plx,plxe,BV,BVe,CNum,HD,BD
80363,16,24,16.4,-56,3,16.9,7.96,12.47,1.01,0.583,0.003,,147335,
80364,16,24,17.4,55,19,57.9,6.93,23.51,0.56,0.575,0.008,,148329,B+55 1844
80366,16,24,19.9,-13,38,28.2,8.4,46.44,1.2,0.95,0.015,16243-1338,147776,B-13 4418
80368,16,24,20.3,-77,27,47.8,8.43,6.59,0.84,0.471,0.011,,146263,
80369,16,24,20.7,-15,4,5.5,9.36,14.45,1.51,0.694,0.032,,147777,B-14 4417
80374,16,24,25,-22,39,17.4,8.01,13.97,1.14,0.498,0.015,,147742,B-22 4162
80376,16,24,25.3,-48,23,2.4,9.12,13.09,1.85,0.879,0.024,,147457,
80382,16,24,28.1,-84,27,19.7,8.67,10.45,0.84,0.651,0.017,,144167,
80384,16,24,28.7,-15,46,9.2,10.04,13.47,1.8,0.739,0.049,,,B-15 4318
80385,16,24,29.9,-30,28,54.5,9.76,7.66,1.6,0.617,0.049,,147682,
80397,16,24,39.1,-42,13,46.9,9.7,7.8,1.51,0.69,0.032,,147598,
80400,16,24,40.4,-26,48,25.8,8.37,8.09,1.07,0.622,0.015,,147743,
80403,16,24,41.3,-17,33,38.7,8.6,9.16,1.26,0.52,0.017,,147807,B-17 4563
80414,16,24,48,44,41,23.7,7.17,13.23,0.61,0.478,0.009,,148253,B+45 2400
80416,16,24,48.6,-36,5,2.9,9.26,4.81,1.32,0.76,0.03,,147684,
80417,16,24,49.5,39,25,19.7,8.88,6.21,1.63,0.57,0.021,16248+3925,,B+39 2989
80424,16,24,56.9,-46,1,44.4,10.08,15.08,2.11,0.705,0.045,,328176,
80428,16,25,0.5,-41,34,33.9,9.47,6.57,1.54,0.58,0.024,,147669,
80440,16,25,13.3,-21,56,11.5,10.4,55.81,2.19,1.444,0.018,,,B-21 4352
80441,16,25,14.1,46,52,5.8,9.24,11.14,0.94,0.54,0.015,,,B+47 2339
80454,16,25,21.2,-68,19,8.8,9.92,17.47,1.59,0.863,0.003,,,
80456,16,25,22.9,-47,31,42.4,7.74,12.68,1.13,0.488,0.015,,147657,
80459,16,25,24.1,54,18,16.3,10.13,151.93,1.11,1.591,0.027,,,
80465,16,25,26.9,17,18,11.2,7.98,9.81,1.17,0.619,0.015,16254+1718,148147,B+17 3022
80472,16,25,34.9,-16,5,5.8,9.21,10.19,1.36,0.54,0.02,,147983,B-15 4321
80484,16,25,44.5,11,55,8.6,8.23,13.39,1.19,0.589,0.015,,148164,B+12 3013
80486,16,25,45.1,-33,34,1.4,7.96,10.17,1.24,0.575,0.012,16258-3334,147873,
80489,16,25,48.4,30,15,55.2,9.01,12.03,1.18,0.751,0.019,,148284,B+30 2811
80490,16,25,48.6,-29,55,6.9,7.61,11.17,1.47,0.792,0.01,16258-2955,147936,
80495,16,25,52.2,-14,1,27.6,9.48,10.36,1.84,0.528,0.03,,148022,B-13 4424
80502,16,25,59.2,-1,5,28.4,10.3,11.48,2.92,0.856,0.015,,,
80511,16,26,8.7,-34,58,59.7,8.16,8.61,2.27,0.571,0.015,16261-3459,147938,
80512,16,26,9.3,7,16,12.4,10.03,17.2,1.56,1.024,0.02,,,B+ 7 3174
80544,16,26,40.5,-19,7,55.8,9.54,8.46,1.49,0.68,0.04,,148116,B-18 4281
80549,16,26,43.4,40,54,50.6,9.07,5.86,0.94,0.544,0.022,,148491,B+41 2708
80553,16,26,46.8,12,3,20.4,8.63,9.66,1.24,0.539,0.016,16268+1203,,B+12 3016
80556,16,26,49.5,-31,13,51.8,9.27,9.24,1.51,0.735,0.036,,148074,
80561,16,26,51,85,37,1.1,8.63,11.4,0.75,0.45,0.019,,152643,B+85 278
80568,16,27,1.4,38,50,35.4,8.11,8.86,0.71,0.37,0.012,,148528,B+39 2996
80570,16,27,1.6,-17,46,7,7.22,17.32,0.86,0.509,0.008,,148198,B-17 4572
80571,16,27,2.9,34,0,9.2,8.89,6.57,0.93,0.453,0.018,,,B+34 2786
80584,16,27,12.2,18,59,38.8,8.38,8.36,2.31,0.47,0.015,16272+1900,148415,B+19 3102
80585,16,27,12.3,49,57,2.5,8.9,7.57,0.76,0.409,0.021,,148652,B+50 2293
80595,16,27,19,-43,46,10.9,9.23,15.81,2.89,0.689,0.032,16273-4346,148043,
80597,16,27,20.4,0,55,29.5,9.97,32.72,1.8,1.387,0.15,,,B+ 1 3236
80605,16,27,29.4,-66,20,17.2,8.23,11.09,1.15,0.604,0.011,,147619,
80608,16,27,30.8,-10,8,34,8.58,19.5,1.56,0.645,0.024,,148319,B- 9 4392
80609,16,27,31.4,-25,9,1.7,9.61,8.51,1.56,0.637,0.015,,148212,
80612,16,27,33.3,-10,0,25.6,10.82,46.19,2.85,1.448,0.009,,,B- 9 4394
80616,16,27,38.9,-3,35,3.2,10.81,23.38,4.19,1.15,0.015,16276-0335,,
80621,16,27,43.5,-49,26,25.6,8.17,7.6,1.29,0.45,0.01,,148044,
80643,16,27,56.8,-58,48,28.9,9.34,8.5,1.43,0.667,0.02,,147919,
80644,16,27,57,7,18,21.9,8.83,56.43,1.31,1.253,0.021,,148467,B+ 7 3180
80655,16,28,0.4,-17,50,41.3,8.3,16.93,1.12,0.704,0.015,,148351,B-17 4575
80658,16,28,2.5,-13,6,10.5,8.65,9.84,1.15,0.548,0.015,,148376,B-12 4515
80664,16,28,8.2,-42,43,10.6,9.69,9.83,1.3,0.667,0.027,,148172,
80665,16,28,8.7,24,35,10.3,9.87,13.9,1.6,0.75,0.026,,,B+24 3011
80667,16,28,11.7,60,40,49,8.82,7.05,1.42,0.518,0.038,16282+6041,148977,B+61 1595
80669,16,28,12.2,59,46,51.3,9.9,4.75,0.94,0.47,0.015,,,B+60 1681
80680,16,28,17.2,-46,19,3.7,7.69,18.85,1.03,0.56,0.009,,148156,
80681,16,28,19.8,25,30,55.6,8.97,6.03,1.21,0.494,0.015,,148618,B+25 3087
80683,16,28,21.3,-31,7,49.6,8.7,34.17,1.23,0.98,0.025,,148303,
80731,16,28,55.8,-43,27,30,8.54,9.8,1.03,0.502,0.011,,148290,
80733,16,28,57.3,-68,25,4.6,8.95,5.38,1.2,0.504,0.015,,147801,
80735,16,28,58.8,-29,2,56.9,9.97,7.33,1.82,0.751,0.055,,148417,
80738,16,29,1.3,64,47,11.2,7.68,16.22,0.61,0.585,0.011,,149222,B+65 1122
80741,16,29,5.2,-80,5,49.4,9.23,12.27,0.93,0.69,0.012,,146734,
80742,16,29,6.4,60,38,23.6,8.34,20,0.68,0.639,0.015,,149118,B+60 1682
80743,16,29,6.9,50,45,59.1,8.12,11.33,0.67,0.475,0.015,,148963,B+51 2107
80751,16,29,14.3,23,46,36.8,10.07,29.98,1.74,1.222,0.004,,,B+24 3014
80753,16,29,15.9,-27,22,31.3,9.6,12.8,1.5,0.689,0.039,,148439,
80754,16,29,17.7,-82,53,4,9.84,8.56,1.02,0.622,0.004,,,
80756,16,29,19.6,-21,34,8.1,8.3,9.75,1.17,0.528,0.015,,148516,B-21 4366
80759,16,29,20.6,-42,1,59.8,9.28,12.25,1.57,0.522,0.022,,148371,
80762,16,29,23.5,68,55,52,8.89,5.38,1.01,0.722,0.126,16294+6856,149428,B+69 851
80770,16,29,27.6,-33,19,14.3,7.51,10.18,1.09,0.479,0.009,,148441,
80784,16,29,43.2,-18,40,48.8,7.93,18.58,1.18,0.664,0.002,,148577,B-18 4287
80801,16,29,56.2,46,11,37.2,10.14,8.33,1.12,0.63,0.049,,,B+46 2184
80805,16,30,2.1,0,48,2.4,8.02,13.02,1.46,0.575,0.025,,148713,B- 0 3127
80807,16,30,4.5,33,24,38.5,8.22,8.56,0.81,0.363,0.013,,148910,B+33 2739
80810,16,30,7.1,-22,26,24.6,9.81,7.14,2.03,0.5,0.495,16301-2226,148623,B-22 4171
80812,16,30,7.8,44,52,15.5,9.21,11.66,0.91,0.6,0.023,,149043,B+45 2416
80821,16,30,16,-51,7,33.6,9.31,9.63,1.24,0.567,0.019,,148400,
80824,16,30,18.1,-12,39,35,10.1,234.51,1.82,1.604,0.035,,,B-12 4523
80827,16,30,22.6,40,44,11.6,7.88,11.12,1,0.584,0.015,16304+4044,149025,B+41 2715
80828,16,30,23.1,22,28,59.6,9.4,8.32,1.41,0.538,0.025,,,B+22 2981
80831,16,30,25.7,-10,26,28.3,7.47,18.31,0.96,0.609,0.01,,148729,B-10 4329
80835,16,30,28.1,47,49,14.4,8.86,5.75,0.79,0.479,0.019,,149119,B+48 2408
80838,16,30,29.6,38,20,49.8,8.15,12.68,0.79,0.611,0.015,,149026,B+38 2787
80844,16,30,34,-25,28,13.9,8.64,12.53,1.39,0.546,0.022,,148642,
80849,16,30,39,-38,21,5.2,9.88,9.2,2,0.676,0.034,,148580,
80857,16,30,41.4,-13,6,58.2,9.22,11.29,1.52,0.662,0.03,,148744,B-12 4525
80861,16,30,43.8,37,31,35.4,8.44,10.48,0.85,0.536,0.015,,149058,B+37 2762
80863,16,30,44.2,59,3,38.6,10.35,4.45,1.2,0.826,0.06,,,B+59 1731
80878,16,30,53.9,-4,32,51.3,10.94,16.44,2.82,1.14,0.015,,,
80881,16,30,54.7,-17,47,52.2,9.95,10.56,1.76,0.578,0.046,,148746,B-17 4589
80886,16,30,59,23,59,8.2,8.59,13.45,1.08,0.509,0.014,,148997,B+24 3019
80889,16,31,3.1,-18,37,13.4,10.74,24.42,2.15,1.165,0.015,,,B-18 4289
80899,16,31,15.5,1,28,8.6,10,5.92,1.56,0.49,0.02,,,B+ 1 3245
80921,16,31,28.4,-44,55,43.8,10.31,7.74,2.15,0.475,0.062,,328333,
80930,16,31,32.5,26,26,2.4,8.9,14.42,1.28,0.738,0.016,,149086,B+26 2854
80936,16,31,37.1,12,25,17.1,8.52,20.62,1.21,0.76,0.015,,149028,B+12 3031
80946,16,31,42.9,70,55,59.6,8.23,7.32,0.61,0.448,0.015,,149928,B+71 797
80951,16,31,45.7,-29,38,42.4,9.57,6.9,1.56,0.569,0.033,,148806,
80955,16,31,48.3,-42,44,24.7,8.65,7.81,1.18,0.784,0.023,,148707,
80958,16,31,53.6,34,49,11,9.73,9.87,1.28,0.552,0.036,,,B+35 2829
80977,16,32,11.1,-35,43,35,9.58,8.59,1.58,0.462,0.024,,148824,
80982,16,32,15.5,-43,49,19.5,8.89,13.09,1.2,0.636,0.031,,148762,
80984,16,32,18.4,-76,30,36.6,8.17,13.78,0.86,0.649,0.012,,147802,
80987,16,32,23,-34,14,17.7,8.65,13.32,1.07,0.559,0.014,,148847,
80997,16,32,31,13,9,23.5,8.18,8.73,1.18,0.617,0.015,,149160,B+13 3162
80999,16,32,31.7,50,11,3.9,9.31,9.3,0.91,0.742,0.028,,234314,B+50 2304
81009,16,32,36.5,-30,11,43.4,9.06,13.29,1.55,0.705,0.023,,148915,
81011,16,32,38.2,21,27,30.9,9.07,12.11,1.24,0.56,0.021,,,B+21 2939
81013,16,32,39.4,11,53,15.2,8.9,10.13,1.26,0.44,0.015,,,B+12 3035
81022,16,32,51,2,5,6.1,7.89,15.75,1.07,0.68,0.015,,149143,B+ 2 3127
81029,16,32,58,-39,21,5.1,8.75,13.15,1.54,0.563,0.029,,148902,
81030,16,32,58,-12,35,28.3,10.6,32.04,2.53,1.344,0.006,,,B-12 4542
81040,16,33,5.4,-1,0,3.1,9.02,10.24,1.3,0.68,0.029,,149163,B- 0 3131
81044,16,33,10.5,-51,27,18.6,8.73,13.03,1.35,0.589,0.015,,148811,
81053,16,33,13.7,85,53,17.7,10.41,13.93,1.13,0.82,0.015,,,B+86 250
81055,16,33,16.8,-31,22,25.7,9.16,6.63,1.49,0.614,0.024,,149014,
81058,16,33,19.2,20,29,2.3,9.74,5.46,1.35,0.514,0.037,,,B+20 3288
81059,16,33,19.3,15,8,18.2,8.82,7.14,1.16,0.514,0.021,,149285,B+15 3020
81062,16,33,23.4,-4,15,42.7,7.24,19.03,0.99,0.533,0.001,,149200,B- 3 3961
81068,16,33,30.1,17,49,43.5,8.23,13.83,1.14,0.461,0.015,,149346,B+18 3197
81072,16,33,32.2,46,33,11.8,8.47,9.14,0.78,0.478,0.015,,149576,B+46 2189
81075,16,33,34.4,24,52,59.1,8.72,6.5,1.17,0.599,0.012,,149403,B+25 3098
81085,16,33,41.8,38,5,27.1,6.59,17.74,0.61,0.442,0.006,,149504,B+38 2795
81088,16,33,44.9,-33,20,59,9.53,12.29,1.53,0.749,0.003,,149071,
81093,16,33,49.7,-22,49,34.4,9.07,14.61,1.27,0.65,0.03,,149167,B-22 4174
81097,16,33,51,-24,17,25.7,8.61,8.15,1.06,0.703,0.02,,149149,
81101,16,33,55,47,16,17.6,8.2,9.32,1.42,0.491,0.02,16339+4716,149651,B+47 2354
81106,16,33,55.3,-42,53,19.7,9.19,8.45,1.32,0.73,0.04,16339-4253,149017,
81110,16,33,57.2,19,0,31.6,9.56,12.41,1.43,0.703,0.036,,,B+19 3122
81114,16,34,0.3,-25,48,50.1,9.81,9.38,1.78,0.527,0.045,,149150,
81116,16,34,1.5,34,6,12,8.73,9.9,0.87,0.414,0.018,,149524,B+34 2810
81120,16,34,4.6,-80,55,45.1,8.77,8.24,0.88,0.449,0.017,,147351,
81147,16,34,24.1,32,1,8.1,8.94,6,0.94,0.534,0.021,,149559,B+32 2746
81154,16,34,28.4,-57,24,29,9.19,8.89,1.25,0.529,0.018,,148904,
81160,16,34,34.9,37,59,44.3,8.88,8.82,0.88,0.417,0.015,,149659,B+38 2798
81166,16,34,40.6,-40,20,51,9.23,11.85,1.54,0.589,0.003,,149153,
81174,16,34,48.6,-65,52,34.3,8.11,12.32,1.16,0.528,0.015,16348-6553,148753,
81179,16,34,52.3,-18,18,13.7,8.83,12.3,1.21,0.664,0.015,,149364,B-17 4601
81181,16,34,53.4,-25,34,40.3,10.59,21.73,2.26,0.95,0.005,,,
81185,16,34,57.5,5,9,12.5,8.94,6.73,1.31,0.5,0.021,,,B+ 5 3227
81186,16,34,57.7,54,30,32.7,9.36,26.61,0.93,0.926,0.033,,149929,B+54 1822
81193,16,35,3.9,-58,51,9.2,8.52,14.38,1.02,0.505,0.012,,148959,
81201,16,35,8.4,33,18,6.8,11.04,26.78,1.75,1.367,0.024,,,
81202,16,35,9.2,38,58,33.7,8.86,9.52,0.92,0.556,0.002,16352+3859,149732,B+39 3016
81206,16,35,12.3,-2,14,9.3,9.33,11.66,1.62,0.77,0.02,,149476,B- 1 3214
81210,16,35,14.6,37,1,19,8.58,12.36,0.83,0.666,0.018,,149750,B+37 2772
81215,16,35,20,5,13,34.8,9.1,17.08,1.41,0.763,0.025,,,B+ 5 3230
81217,16,35,20.1,-9,40,20,8.06,13.04,1.14,0.512,0.017,,149463,B- 9 4413
81218,16,35,21.1,12,0,9,8.98,8.86,1.45,0.714,0.018,,,B+12 3040
81223,16,35,23.5,8,48,59.5,9.1,15.36,1.39,0.605,0.015,,,B+ 9 3230
81224,16,35,23.7,15,32,19.6,9.1,6.23,1.33,0.486,0.025,,149614,B+15 3026
81229,16,35,25.3,-48,41,52.8,8.56,13.3,1.75,0.653,0.029,,149189,
81235,16,35,29,-21,52,39.4,8.84,10.04,1.16,0.507,0.022,,149421,B-21 4389
81237,16,35,29.7,-18,40,20.6,8.74,25.32,1.15,0.749,0.015,,149435,B-18 4295
81240,16,35,32.1,-53,3,55.9,8.86,11.16,1.29,0.631,0.02,,149138,
81242,16,35,33.3,47,40,59,9.26,6.56,1.53,0.615,0.029,16356+4741,,B+47 2358
81250,16,35,42.4,40,8,40.9,8.59,10.76,0.9,0.528,0.016,,149861,B+40 3036
81253,16,35,44.8,27,52,23.4,8.46,7.55,1.02,0.435,0.014,,149753,B+28 2586
81264,16,35,51.8,-56,7,38.1,8.09,8.75,1.28,0.63,0.01,,149139,
81267,16,35,54.2,29,44,43.5,8.58,9.5,1.07,0.485,0.015,,149803,B+30 2843
81274,16,35,57.5,0,24,41.9,8.21,16.01,1.09,0.561,0.002,,149616,B- 0 3143
81277,16,36,2.3,-73,29,8.6,8.69,6.2,1.08,0.517,0.012,,148600,
81279,16,36,3.1,1,22,53.8,7.25,19.32,1,0.523,0.003,,149652,B+ 1 3263
81282,16,36,5.8,44,49,36.6,9.81,7,1.03,0.521,0.037,,,B+45 2429
81287,16,36,9.4,-20,42,55.5,9.99,6.94,1.57,0.693,0.048,,149527,B-20 4523
81288,16,36,9.5,57,19,24.4,8.99,32.73,0.83,0.825,0.007,,150172,B+57 1692
81295,16,36,16.5,-21,6,7,9.83,11.12,1.47,0.708,0.02,,149544,B-20 4524
81330,16,36,38.6,-14,14,5.8,9,14.04,1.63,0.765,0.03,,149653,B-13 4458
81343,16,36,45.7,-32,27,21.5,9.26,5.74,1.37,0.534,0.025,,149531,
81347,16,36,48.5,-6,17,39.5,7.85,17.93,1.12,0.783,0.013,,149724,B- 5 4323
81348,16,36,48.8,31,5,52.4,9.49,39.04,1.29,1.2,0.015,,149957,B+31 2875
81350,16,36,50,9,8,0.2,8.81,9.61,1.14,0.4,0.016,,149823,B+ 9 3238
81353,16,36,51.6,-65,35,12.7,7.68,21.17,0.84,0.576,0.015,,149079,
81366,16,37,0.2,-17,9,36,8.48,11.6,1.39,0.445,0.018,,149685,B-16 4315
81369,16,37,4.1,-62,14,24.8,8.68,10.24,1.21,0.559,0.015,,149194,
81371,16,37,5.4,-56,33,21,9.24,20.78,1.75,0.817,0.002,,149317,
81385,16,37,16.2,-33,8,51,9.18,37.92,1.33,1.363,0.057,,149621,
81387,16,37,16.5,8,30,23.4,10,17.42,1.61,0.915,0.015,,,B+ 8 3242
81390,16,37,17.5,-83,32,50,8.31,21.41,0.82,0.835,0.013,,147043,
81393,16,37,23,-17,27,36.8,9.74,10.9,1.73,0.744,0.046,,149734,B-17 4604
81405,16,37,34,-32,53,17.2,8.57,11.73,1.16,0.576,0.015,,149665,
81407,16,37,36.4,-40,53,13.6,8.95,30.89,1.37,0.965,0.019,,149606,
81412,16,37,37.9,18,17,27.2,9.97,6.65,1.42,0.685,0.038,,,B+18 3205
81413,16,37,38.3,-22,3,32.7,8.82,9.77,1.17,0.783,0.025,,149760,B-21 4391
81421,16,37,45.9,0,2,26.6,8.05,26.56,1.22,0.763,0.004,,149933,B+ 0 3555
81423,16,37,46.2,62,33,12.3,9.06,4.95,0.72,0.588,0.023,,150552,B+62 1497
81424,16,37,47.5,-65,2,47.4,8.04,17.4,0.92,0.563,0.01,,149238,
81448,16,38,6.6,53,50,19.5,9.34,5.54,0.91,0.449,0.027,,234327,B+54 1826
81450,16,38,8.4,-13,31,31.5,10.15,15.39,2.33,0.763,0.066,,,B-13 4464
81453,16,38,10.5,73,19,35.4,8.1,10.99,0.6,0.536,0.014,,151084,B+73 733
81456,16,38,14,-27,2,10.8,9.82,13.09,1.69,0.72,0.02,,149808,
81459,16,38,16.2,29,40,22.6,7.5,15.46,0.8,0.73,0.015,,150205,B+29 2860
81460,16,38,16.9,25,25,37.2,8.87,6.34,1.36,0.501,0.015,,150173,B+25 3110
81465,16,38,19.6,-5,1,14.1,10.38,29.87,2.21,1.19,0.015,,,B- 4 4138
81467,16,38,20.8,-49,13,33,8.39,13.01,1.35,0.509,0.023,,149643,
81476,16,38,30,12,39,43.8,7.66,17,0.97,0.621,0.009,,150122,B+12 3054
81480,16,38,31.3,-31,6,3.3,9.72,9.26,1.69,0.697,0.05,,149848,
81490,16,38,40.6,5,25,27.8,10.22,19.08,1.7,0.988,0.02,,,
81495,16,38,43.7,-36,51,16.7,8.66,9.21,1.36,0.511,0.027,,149830,
81498,16,38,46.6,-29,53,32.3,8.21,21.41,1.13,0.585,0.012,,149894,
81504,16,38,50.3,-34,20,57.9,9.1,12.29,1.34,0.671,0.037,,149873,
81509,16,38,54.5,-6,6,41.6,9.82,9.24,1.69,0.698,0.02,,150078,B- 5 4329
81510,16,38,55.2,-50,49,48.4,9.06,7.9,1.46,0.522,0.026,,149693,
81512,16,38,59.2,45,35,24,9.23,13.58,0.83,0.658,0.024,,,B+45 2434
81513,16,39,0.4,-22,2,38.8,9.23,7.78,1.38,0.532,0.02,,149999,B-21 4394
81522,16,39,4.6,-42,48,52.8,10.47,11.2,3.14,0.716,0.116,,325816,
81524,16,39,5.9,24,41,47.1,7.83,11.23,1.01,0.435,0.007,,150295,B+24 3038
81525,16,39,6.6,8,20,14.4,9.14,4.84,1.37,0.462,0.03,,150191,B+ 8 3248
81533,16,39,12.4,-47,18,35.7,9.16,15.75,1.79,0.759,0.038,,149782,
81547,16,39,19.2,-44,39,7.2,9.71,10.34,1.51,0.65,0.052,,149852,
81548,16,39,19.5,-54,42,18.7,9.12,6.89,1.53,0.628,0.017,,149695,
81552,16,39,20.7,-30,27,53.1,7.59,10.35,1.05,0.611,0.012,,149981,
81571,16,39,34.6,12,17,47,8.39,7.9,1.01,0.435,0.015,,150280,B+12 3058
81588,16,39,44.2,11,39,15.5,9.37,13.23,1.44,0.651,0.031,,,B+11 3019
81598,16,39,49.9,5,30,28.6,8.62,26.39,1.45,0.876,0.002,,150281,B+ 5 3246
81603,16,39,53.5,-35,15,38.1,8.78,16.36,2.03,0.71,0.002,16399-3516,150020,
81605,16,39,56.7,37,31,3.5,8.61,22.69,0.95,0.714,0.016,16399+3731,150510,B+37 2786
81606,16,39,56.8,-47,47,0.4,7.27,13.96,2.2,0.432,0.015,16400-4747,149901,
81610,16,40,4.5,-14,37,49,9.55,10.61,1.47,0.614,0.045,,,B-14 4469
81612,16,40,7.5,58,7,12.8,8.25,9.11,0.69,0.446,0.016,,150826,B+58 1661
81631,16,40,32.1,-15,39,23,9.05,12.29,1.41,0.549,0.015,,150284,B-15 4365
81633,16,40,35,49,9,59.4,9,31.34,0.77,0.982,0.022,,150748,B+49 2535
81671,16,41,3,-15,21,25.2,8.4,11.7,1.12,0.486,0.009,,150344,B-15 4369
81675,16,41,4.7,-37,53,29.7,7.77,12.03,1.1,0.479,0.014,,150211,
81676,16,41,4.9,-69,24,28.5,8.52,10.14,1.03,0.565,0.01,,149556,
81677,16,41,5.4,33,37,49.7,11.04,7.95,1.76,0.575,0.072,,,B+33 2768
81681,16,41,8.2,-2,51,22.3,7.21,33.84,0.96,0.631,0.01,16412-0251,150433,B- 2 4230
81682,16,41,8.5,-36,39,39.7,9.12,11.05,1.88,0.461,0.031,,150225,
81686,16,41,10.2,-15,9,29.8,9.59,9.13,1.39,0.598,0.015,,,B-14 4470
81698,16,41,19.2,47,27,53.8,8.67,10.94,0.71,0.561,0.015,,150843,B+47 2367
81730,16,41,37.1,11,39,28.6,11.15,26.06,2.28,1.374,0.02,,,
81732,16,41,39.4,34,35,22,7.64,11.65,0.71,0.407,0.001,,150749,B+34 2826
81735,16,41,42.7,-13,21,45.7,9.63,7.37,2.11,0.74,0.015,,150467,B-13 4478
81746,16,41,49.7,-45,22,6.6,7.03,35.18,1.01,0.653,0,,150248,
81749,16,41,50.6,-54,44,57.5,8,14.99,1,0.754,0.012,,150111,
81750,16,41,50.9,-74,50,29.5,8.45,7.68,1,0.564,0.012,,149376,
81755,16,41,53.7,63,48,55.5,8.22,19.6,0.65,0.578,0.014,,151252,B+64 1147
81763,16,42,2.1,33,6,7.1,7.9,12.45,0.81,0.397,0.011,,150813,B+33 2771
81765,16,42,6.6,-28,50,44.9,9,8.46,1.39,0.603,0.035,,150436,
81767,16,42,7.2,-29,7,29.1,7.84,18.14,1.19,0.683,0.005,,150437,
81775,16,42,10.3,-31,30,14.8,9.44,6.29,1.42,0.636,0.04,,150418,
81776,16,42,10.5,37,52,31.8,9.93,5.7,1.23,0.519,0.048,16422+3753,,B+38 2819
81794,16,42,22.3,2,3,48,9.22,17.97,1.94,0.735,0.015,,150651,B+ 2 3157
81796,16,42,24.6,-20,9,52.4,8.46,7.26,1.26,0.509,0.016,,150527,B-19 4409
81800,16,42,27.6,49,56,12.1,6.48,34,0.5,0.541,0.011,,151044,B+50 2319
81808,16,42,31.4,-29,23,28.4,9.47,6.37,1.6,0.524,0.02,,150496,
81813,16,42,39,68,6,4.1,7.56,41.15,0.57,0.769,0.001,,151541,B+68 883
81819,16,42,46.6,-37,20,32.2,7.16,18.98,1.06,0.78,0.01,,150474,
81827,16,42,51.7,-33,14,21.1,11.5,30.26,3.63,1.437,0.012,,,
81831,16,42,53.3,20,31,54.2,8.95,24.42,1.27,0.717,0.02,,,B+20 3319
81857,16,43,7.4,73,41,52.5,9.43,4.66,0.76,0.485,0.034,,,B+73 740
81862,16,43,13.9,58,31,28,9.52,26.46,0.92,0.901,0.042,,238600,B+58 1665
81872,16,43,20.4,64,47,46.3,9.9,5.88,0.84,0.462,0.05,,,B+65 1140
81875,16,43,26.8,23,11,47.1,8.84,11.06,1.07,0.468,0.015,,150946,B+23 2981
81878,16,43,29.6,44,56,37.1,9.44,10.83,0.94,0.737,0.032,,,B+45 2443
81881,16,43,30.9,28,58,0.6,9.05,5.3,1.22,0.41,0.022,,151006,B+29 2875
81896,16,43,41.1,-39,29,6.2,8.62,21.72,1.21,0.73,0.03,,150571,
81905,16,43,47.5,-14,2,28.2,9.12,11.31,1.21,0.564,0.015,,150785,B-13 4487
81908,16,43,50.1,-23,7,52.2,8.25,9.51,1.07,0.541,0.015,,150734,B-22 4197
81910,16,43,51.4,-26,48,31.3,6.72,21.26,0.89,0.674,0.015,,150698,
81924,16,44,1,42,30,31.1,8.6,9.56,0.79,0.478,0.019,,151189,B+42 2742
81926,16,44,1.8,42,41,58.2,8.76,14.06,0.88,0.714,0.019,,151200,B+42 2743
81947,16,44,20.9,54,55,2.4,8.06,19.24,0.66,0.646,0.009,,151426,B+55 1873
81952,16,44,26.6,-5,41,14.1,8.76,12.51,1.32,0.74,0.021,,150936,B- 5 4344
81980,16,44,49.4,-15,29,43.3,10.35,17.64,2,0.965,0.015,,,B-15 4383
82003,16,45,6.3,33,30,29.9,8.1,102.35,0.88,1.31,0.019,,151288,B+33 2777
82014,16,45,13.8,72,49,33.2,8.91,7.71,0.89,0.782,0.025,,,B+73 742
82015,16,45,15,25,11,15.4,9.67,10.74,1.51,0.696,0.024,,,B+25 3126
82042,16,45,32.1,33,49,49.7,9.45,26.54,1.15,0.96,0.015,,,B+34 2835
82045,16,45,35,8,3,1.6,9.52,7.77,1.47,0.586,0.041,,151190,B+ 8 3268
82046,16,45,35.5,-33,51,0.9,7.11,12.34,1.01,0.558,0.015,,150926,
82059,16,45,43.8,19,38,33.1,8.16,18.59,1.25,0.677,0.015,,151329,B+19 3154
82068,16,45,48.1,35,37,50.5,7.33,16.92,0.87,0.51,0.013,16458+3538,151428,B+35 2867
82070,16,45,49.1,-1,15,50.7,9.63,6.56,1.54,0.707,0.036,,151169,B- 1 3243
82088,16,46,4.9,-35,36,49.3,9.17,16.98,1.59,0.734,0.034,,150987,
82090,16,46,5.7,52,44,44.9,9.05,16.71,0.81,0.753,0.021,,234347,B+53 1894
82092,16,46,7.7,50,20,37.6,9.46,30.78,1.01,1.081,0.044,,234344,B+50 2330
82100,16,46,14.4,36,41,20.7,8.39,12.76,0.8,0.611,0.015,,151501,B+36 2779
82106,16,46,16.4,-47,58,16.4,9.27,6.45,1.32,0.443,0.034,,150910,
82112,16,46,22.8,-9,2,3.2,9.69,5.74,1.7,0.69,0.02,,151221,B- 8 4307
82117,16,46,30.6,47,26,57.1,8.38,10.21,0.69,0.612,0.015,,151689,B+47 2383
82155,16,47,1.9,29,13,31,8.6,10.2,1,0.537,0.016,,151572,B+29 2881
82169,16,47,17.5,-1,11,18,10.76,36.48,2.22,1.502,0.317,,,B- 0 3182
82176,16,47,21.7,-24,42,22.8,9.52,7.17,1.56,0.487,0.042,,151271,
